country,respondent_id,age,urban_rural,income_level,sex,marital_status,education,life_satisfaction,freedom_of_choice,emancipative_values,trust_people,importance_of_god,financial_satisfaction,secular_values
Hong Kong SAR,344071330,23.0,Urban,Medium,Male,Married,Higher,7.0,7.0,0.846111111,Trusted,5.0,6.0,0.3319444444
Hong Kong SAR,344070951,71.0,Urban,Medium,Male,Married,Lower,9.0,7.0,0.283472222,Trusted,1.0,8.0,0.2766666667
Hong Kong SAR,344071765,40.0,Urban,Medium,Female,Married,Higher,6.0,6.0,0.669907407,Not trusted,8.0,7.0,0.4280555556
Hong Kong SAR,344070939,42.0,Urban,Medium,Male,Married,Higher,6.0,3.0,0.749444444,Not trusted,6.0,7.0,0.4283333333
Hong Kong SAR,344071655,45.0,Urban,Medium,Female,Married,Higher,6.0,6.0,0.339166667,Trusted,7.0,6.0,0.4694444444
Hong Kong SAR,344070011,49.0,Urban,Medium,Female,Married,Higher,8.0,8.0,0.677268519,Not trusted,6.0,7.0,0.3594444444
Hong Kong SAR,344071780,50.0,Urban,Medium,Female,Married,Middle,8.0,10.0,0.570787037,Trusted,10.0,7.0,0.3458333333
Hong Kong SAR,344071182,23.0,Urban,Low,Female,Single,Higher,5.0,3.0,0.709537037,Trusted,7.0,4.0,0.5669444444
Hong Kong SAR,344070283,52.0,Urban,Medium,Female,Married,Lower,8.0,9.0,0.364490741,Not trusted,8.0,8.0,0.3327777778
Hong Kong SAR,344070811,21.0,Urban,Medium,Male,Single,Middle,6.0,7.0,0.756388889,Not trusted,2.0,5.0,0.7063888889
Hong Kong SAR,344071593,66.0,Urban,Medium,Male,Married,Higher,10.0,10.0,0.39662037,Not trusted,5.0,10.0,0.47
Hong Kong SAR,344070292,71.0,Urban,Low,Female,Married,Lower,3.0,3.0,0.419361111,Not trusted,,3.0,0.5170475
Hong Kong SAR,344070755,24.0,Urban,Medium,Female,Single,Higher,7.0,6.0,0.842592593,Not trusted,1.0,7.0,0.6366666667
Hong Kong SAR,344070627,60.0,Urban,Medium,Male,Married,Higher,6.0,6.0,0.290416667,Not trusted,6.0,7.0,0.6641666667
Hong Kong SAR,344071324,38.0,Urban,Medium,Female,Married,Higher,8.0,7.0,0.570648148,Not trusted,4.0,8.0,0.4836111111
Hong Kong SAR,344071404,33.0,Urban,Medium,Female,Married,Higher,7.0,7.0,0.448240741,Trusted,6.0,7.0,0.6638888889
Hong Kong SAR,344070130,67.0,Urban,Medium,Female,Widowed,Lower,8.0,8.0,0.443183704,Not trusted,6.0,6.0,0.2396296296
Hong Kong SAR,344071234,43.0,Urban,High,Male,Single,Lower,8.0,9.0,0.37662037,Trusted,8.0,9.0,0.4986111111
Hong Kong SAR,344070844,72.0,Urban,Medium,Male,Married,Lower,10.0,6.0,0.458703704,Not trusted,7.0,5.0,0.47
Hong Kong SAR,344070324,18.0,Urban,Low,Female,Single,Middle,6.0,6.0,0.449444444,Not trusted,1.0,4.0,0.7066666667
Hong Kong SAR,344071147,26.0,Urban,Medium,Male,Married,Higher,8.0,7.0,0.538796296,Trusted,3.0,8.0,0.4705555556
Hong Kong SAR,344070927,64.0,Urban,Low,Male,Married,Lower,8.0,6.0,0.33875,Trusted,1.0,7.0,0.4425
Hong Kong SAR,344071038,30.0,Urban,Medium,Male,Married,Higher,6.0,6.0,0.660509259,Trusted,5.0,4.0,0.6091666667
Hong Kong SAR,344071961,31.0,Urban,Medium,Female,Single,Higher,4.0,5.0,0.746574074,Not trusted,4.0,5.0,0.4702777778
Hong Kong SAR,344071825,61.0,Urban,Medium,Male,Married,Middle,7.0,7.0,0.535925926,Not trusted,10.0,5.0,0.18
Hong Kong SAR,344071677,49.0,Urban,Medium,Male,Married,Middle,9.0,9.0,0.325555556,Trusted,3.0,8.0,0.4994444444
Hong Kong SAR,344070696,44.0,Urban,Medium,Female,Married,Lower,5.0,8.0,0.658888889,Not trusted,4.0,7.0,0.47
Hong Kong SAR,344070216,29.0,Urban,Low,Male,Single,Middle,4.0,5.0,0.330462963,Not trusted,4.0,4.0,0.7761111111
Hong Kong SAR,344071959,33.0,Urban,Low,Male,Married,Higher,8.0,8.0,0.619537037,Trusted,3.0,6.0,0.5536111111
Hong Kong SAR,344071783,61.0,Urban,Medium,Male,Single,Higher,7.0,7.0,0.481851852,Trusted,4.0,7.0,0.7058333333
Hong Kong SAR,344071361,38.0,Urban,Medium,Female,Single,Higher,6.0,7.0,0.708333333,Trusted,1.0,7.0,0.4291666667
Hong Kong SAR,344070159,86.0,Urban,Low,Male,Married,Lower,5.0,5.0,0.232407407,Not trusted,1.0,3.0,0.36
Hong Kong SAR,344071281,23.0,Urban,Medium,Female,Single,Higher,9.0,8.0,0.6875,Trusted,1.0,9.0,0.6933333333
Hong Kong SAR,344071114,40.0,Urban,Medium,Female,Divorced,Higher,7.0,8.0,0.685555556,Trusted,6.0,7.0,0.6641666667
Hong Kong SAR,344071660,55.0,Urban,Low,Female,Married,Middle,6.0,6.0,0.429444444,Not trusted,2.0,6.0,0.6091666667
Hong Kong SAR,344071183,30.0,Urban,Medium,Female,Single,Middle,4.0,6.0,0.429166667,Not trusted,4.0,7.0,0.6497222222
Hong Kong SAR,344070842,32.0,Urban,Low,Male,Single,Higher,4.0,3.0,0.801574074,Not trusted,6.0,4.0,0.8866666667
Hong Kong SAR,344070635,75.0,Urban,Medium,Male,Married,Lower,8.0,10.0,0.286203704,Trusted,1.0,10.0,0.3594444444
Hong Kong SAR,344070517,49.0,Urban,Medium,Female,Married,Lower,7.0,8.0,0.408611111,Trusted,5.0,7.0,0.5958333333
Hong Kong SAR,344071504,45.0,Urban,Medium,Male,Divorced,Middle,5.0,5.0,0.450277778,Not trusted,5.0,3.0,0.5666666667
Hong Kong SAR,344071906,35.0,Urban,Medium,Female,Married,Higher,3.0,7.0,0.438703704,Not trusted,6.0,3.0,0.6502777778
Hong Kong SAR,344070598,24.0,Urban,Medium,Female,Single,Higher,7.0,7.0,0.850740741,Trusted,1.0,7.0,0.5116666667
Hong Kong SAR,344070196,57.0,Urban,Low,Male,Married,Middle,6.0,7.0,0.4965,Not trusted,3.0,6.0,0.4158333333
Hong Kong SAR,344071724,42.0,Urban,High,Female,Married,Higher,8.0,8.0,0.464722222,Trusted,7.0,8.0,0.5808333333
Hong Kong SAR,344072067,47.0,Urban,Medium,Female,Single,Middle,5.0,8.0,0.59625,Not trusted,7.0,3.0,0.4286111111
Hong Kong SAR,344070411,22.0,Urban,Medium,Female,Single,Higher,6.0,6.0,0.71962963,Trusted,3.0,4.0,0.6647222222
Hong Kong SAR,344070097,64.0,Urban,Medium,Female,Married,Lower,8.0,8.0,0.575277778,Trusted,8.0,8.0,0.7246983333
Hong Kong SAR,344070441,58.0,Urban,Medium,Male,Divorced,Lower,4.0,2.0,0.737314815,Not trusted,5.0,4.0,0.5669444444
Hong Kong SAR,344070550,59.0,Urban,Low,Male,Married,Middle,7.0,7.0,0.593240741,Trusted,1.0,5.0,0.47
Hong Kong SAR,344070157,34.0,Urban,Low,Female,Widowed,Middle,8.0,8.0,0.35537037,Trusted,6.0,4.0,0.4283333333
Hong Kong SAR,344070420,36.0,Urban,Medium,Female,Married,Higher,8.0,7.0,0.37537037,Trusted,10.0,7.0,0.3624475
Hong Kong SAR,344070923,32.0,Urban,Medium,Male,Married,Higher,7.0,7.0,0.331805556,Not trusted,10.0,7.0,0.2205555556
Hong Kong SAR,344071930,38.0,Urban,Medium,Female,Married,Higher,7.0,7.0,0.721111111,Not trusted,6.0,6.0,0.72
Hong Kong SAR,344070478,86.0,Urban,Low,Female,Widowed,Lower,5.0,5.0,0.350574074,Not trusted,5.0,4.0,0.6288888889
Hong Kong SAR,344071952,58.0,Urban,Low,Female,Married,Lower,6.0,6.0,0.47412037,Not trusted,5.0,6.0,0.7488888889
Hong Kong SAR,344070669,68.0,Urban,Medium,Male,Married,Middle,9.0,9.0,0.33875,Not trusted,2.0,8.0,0.43
Hong Kong SAR,344071359,48.0,Urban,Medium,Male,Married,Higher,6.0,4.0,0.470694444,Trusted,9.0,7.0,0.5394444444
Hong Kong SAR,344071969,57.0,Urban,Low,Female,Married,Lower,4.0,4.0,0.436805556,Not trusted,6.0,4.0,0.5541666667
Hong Kong SAR,344071365,29.0,Urban,Medium,Female,Married,Higher,6.0,5.0,0.480092593,Trusted,5.0,5.0,0.6227777778
Hong Kong SAR,344070448,43.0,Urban,Medium,Male,Married,Middle,7.0,5.0,0.399490741,Not trusted,3.0,6.0,0.4986111111
Hong Kong SAR,344070554,59.0,Urban,Low,Female,Widowed,Lower,7.0,6.0,0.269722222,Not trusted,2.0,6.0,0.4291666667
Hong Kong SAR,344070179,58.0,Urban,Medium,Female,Divorced,Lower,6.0,10.0,0.397592593,Not trusted,4.0,6.0,0.2633333333
Hong Kong SAR,344070391,31.0,Urban,Medium,Male,Married,Higher,8.0,7.0,0.494259259,Not trusted,2.0,8.0,0.6593363889
Hong Kong SAR,344070579,78.0,Urban,High,Female,Single,Higher,10.0,9.0,0.485,Not trusted,5.0,9.0,0.5125
Hong Kong SAR,344071477,42.0,Urban,High,Male,Married,Middle,5.0,5.0,0.555,Not trusted,5.0,5.0,0.7077777778
Hong Kong SAR,344071792,53.0,Urban,Medium,Male,Single,Higher,7.0,7.0,0.563287037,Trusted,4.0,7.0,0.4427777778
Hong Kong SAR,344071310,20.0,Urban,Low,Female,Single,Higher,7.0,6.0,0.397453704,Not trusted,1.0,4.0,0.665
Hong Kong SAR,344071363,41.0,Urban,Medium,Male,Living together as married,Middle,7.0,7.0,0.625787037,Trusted,6.0,7.0,0.7066666667
Hong Kong SAR,344071108,60.0,Urban,Medium,Male,Married,Higher,7.0,7.0,0.443611111,Not trusted,7.0,6.0,0.6369444444
Hong Kong SAR,344071725,56.0,Urban,Medium,Male,Married,Higher,7.0,6.0,0.543981482,Trusted,6.0,8.0,0.4425
Hong Kong SAR,344071669,40.0,Urban,Medium,Male,Single,Higher,7.0,7.0,0.463888889,Trusted,6.0,6.0,0.5536111111
Hong Kong SAR,344070821,65.0,Urban,Low,Female,Married,Lower,6.0,7.0,0.592962963,Not trusted,2.0,5.0,0.3866666667
Hong Kong SAR,344070974,28.0,Urban,Medium,Male,Single,Higher,5.0,4.0,0.399768519,Not trusted,6.0,3.0,0.3594444444
Hong Kong SAR,344071630,43.0,Urban,Medium,Male,Married,Higher,6.0,6.0,0.589166667,Trusted,5.0,6.0,0.6644444444
Hong Kong SAR,344071919,39.0,Urban,Medium,Male,Married,Higher,8.0,6.0,0.679722222,Trusted,2.0,5.0,0.915
Hong Kong SAR,344071053,53.0,Urban,Medium,Female,Single,Higher,6.0,6.0,0.793425926,Trusted,8.0,6.0,0.4561111111
Hong Kong SAR,344071103,38.0,Urban,Medium,Female,Single,Middle,6.0,6.0,0.493425926,Not trusted,1.0,5.0,0.4141666667
Hong Kong SAR,344070665,22.0,Urban,Medium,Male,Single,Middle,7.0,8.0,0.58875,Trusted,7.0,7.0,0.4286111111
Hong Kong SAR,344070143,50.0,Urban,Medium,Male,Married,Lower,6.0,8.0,0.439259259,Not trusted,6.0,6.0,0.4291666667
Hong Kong SAR,344071595,52.0,Urban,Medium,Male,Married,Higher,7.0,7.0,0.445787037,Trusted,2.0,6.0,0.6366666667
Hong Kong SAR,344071747,52.0,Urban,Medium,Female,Married,Lower,8.0,8.0,0.421944444,Trusted,10.0,8.0,0.5952777778
Hong Kong SAR,344070865,72.0,Urban,Medium,Male,Married,Lower,8.0,9.0,0.408194444,Trusted,3.0,8.0,0.415
Hong Kong SAR,344070422,45.0,Urban,High,Female,Married,Higher,7.0,8.0,0.651527778,Trusted,2.0,7.0,0.5805555556
Hong Kong SAR,344070637,81.0,Urban,Medium,Male,Married,Higher,7.0,6.0,0.516990741,Trusted,1.0,7.0,0.3741666667
Hong Kong SAR,344071482,19.0,Urban,Medium,Female,Single,Middle,7.0,5.0,0.668148148,Not trusted,8.0,6.0,0.29
Hong Kong SAR,344070800,65.0,Urban,Medium,Female,Widowed,Lower,9.0,10.0,0.391574074,Not trusted,1.0,9.0,0.665
Hong Kong SAR,344071122,56.0,Urban,Medium,Male,Married,Higher,8.0,7.0,0.352638889,Trusted,7.0,8.0,0.6508333333
Hong Kong SAR,344070616,75.0,Urban,Medium,Female,Widowed,Lower,10.0,10.0,0.304073704,Not trusted,10.0,10.0,0.2222222222
Hong Kong SAR,344070295,54.0,Urban,Medium,Female,Single,Middle,6.0,5.0,0.273521852,Not trusted,2.0,2.0,0.4002777778
Hong Kong SAR,344071743,34.0,Urban,High,Male,Married,Higher,7.0,8.0,0.501203704,Trusted,8.0,7.0,0.4841666667
Hong Kong SAR,344071450,24.0,Urban,Medium,Male,Single,Middle,6.0,6.0,0.510185185,Not trusted,6.0,5.0,0.5675
Hong Kong SAR,344072002,33.0,Urban,Low,Male,Single,Higher,8.0,7.0,0.385740741,Trusted,7.0,3.0,0.3319444444
Hong Kong SAR,344070089,86.0,Urban,Low,Female,Married,Lower,6.0,5.0,0.495458148,Not trusted,10.0,5.0,0.1375
Hong Kong SAR,344070042,32.0,Urban,Medium,Female,Married,Middle,8.0,8.0,0.468796296,Not trusted,8.0,8.0,0.3458333333
Hong Kong SAR,344071895,38.0,Urban,Medium,Female,Married,Higher,6.0,7.0,0.756944444,Trusted,6.0,10.0,0.5669444444
Hong Kong SAR,344072035,61.0,Urban,Medium,Female,Married,Higher,8.0,8.0,0.449861111,Trusted,10.0,8.0,0.415
Hong Kong SAR,344070132,35.0,Urban,Medium,Male,Single,Higher,5.0,7.0,0.679444444,Trusted,5.0,7.0,0.7092483333
Hong Kong SAR,344071062,21.0,Urban,Medium,Male,Divorced,Higher,6.0,4.0,0.374027778,Not trusted,7.0,8.0,0.6933333333
Hong Kong SAR,344070410,24.0,Urban,Medium,Male,Single,Higher,8.0,8.0,0.394722222,Not trusted,1.0,8.0,0.4575
Hong Kong SAR,344071125,48.0,Urban,Medium,Male,Single,Higher,3.0,4.0,0.809074074,Trusted,3.0,3.0,0.7058333333
Hong Kong SAR,344071951,57.0,Urban,Low,Female,Married,Middle,7.0,7.0,0.455601852,Not trusted,5.0,7.0,0.6941666667
Hong Kong SAR,344072012,24.0,Urban,High,Male,Single,Higher,8.0,8.0,0.581944444,Trusted,8.0,7.0,0.3877777778
Hong Kong SAR,344071577,18.0,Urban,Medium,Male,Single,Lower,9.0,3.0,0.416666667,Trusted,5.0,10.0,0.1938888889
Hong Kong SAR,344070165,67.0,Urban,Medium,Female,Married,Lower,10.0,9.0,0.228333333,Not trusted,1.0,9.0,0.2216666667
Hong Kong SAR,344070725,47.0,Urban,Medium,Female,Married,Middle,7.0,7.0,0.475740741,Not trusted,4.0,7.0,0.4841666667
Hong Kong SAR,344070291,41.0,Urban,Medium,Female,Married,Middle,7.0,7.0,0.628101852,Not trusted,1.0,6.0,0.4286111111
Hong Kong SAR,344071201,34.0,Urban,Medium,Female,Married,Higher,7.0,6.0,0.501481482,Not trusted,7.0,7.0,0.5677777778
Hong Kong SAR,344071614,42.0,Urban,Medium,Male,Married,Higher,5.0,5.0,0.449861111,Not trusted,5.0,5.0,0.8183333333
Hong Kong SAR,344071995,31.0,Urban,Medium,Male,Married,Higher,7.0,7.0,0.4575,Not trusted,6.0,4.0,0.4836111111
Hong Kong SAR,344071074,54.0,Urban,Medium,Female,Married,Higher,6.0,7.0,0.439259259,Not trusted,1.0,4.0,0.4433333333
Hong Kong SAR,344071897,33.0,Urban,Medium,Female,Married,Higher,8.0,7.0,0.614351852,Trusted,6.0,8.0,0.7341666667
Hong Kong SAR,344070779,43.0,Urban,Low,Female,Married,Lower,8.0,8.0,0.505416667,Not trusted,1.0,5.0,0.3452777778
Hong Kong SAR,344070840,,Urban,Medium,Male,Married,Higher,8.0,8.0,0.563287037,Trusted,3.0,7.0,0.4291666667
Hong Kong SAR,344070349,38.0,Urban,Medium,Female,Married,Higher,5.0,4.0,0.436944444,Trusted,1.0,7.0,0.4008333333
Hong Kong SAR,344072046,59.0,Urban,Medium,Male,Widowed,Higher,6.0,5.0,0.489212963,Not trusted,5.0,5.0,0.7891666667
Hong Kong SAR,344070572,56.0,Urban,Low,Female,Divorced,Lower,5.0,10.0,0.555777778,Trusted,8.0,5.0,0.3768591667
Hong Kong SAR,344070918,20.0,Urban,Medium,Male,Single,Higher,6.0,6.0,0.77,Not trusted,1.0,10.0,0.4991666667
Hong Kong SAR,344071045,47.0,Urban,Medium,Male,Married,Middle,7.0,9.0,0.468657407,Trusted,5.0,8.0,0.5116666667
Hong Kong SAR,344071985,51.0,Urban,Medium,Male,Married,Higher,9.0,9.0,0.283611111,Trusted,9.0,9.0,0.1105555556
Hong Kong SAR,344071546,66.0,Urban,Medium,Male,Married,Middle,5.0,8.0,0.691296296,Not trusted,4.0,6.0,0.5111111111
Hong Kong SAR,344071670,30.0,Urban,Low,Male,Married,Middle,4.0,4.0,0.653148148,Not trusted,4.0,2.0,0.5527777778
Hong Kong SAR,344070995,38.0,Urban,Medium,Male,Married,Higher,5.0,3.0,0.556759259,Not trusted,10.0,7.0,0.4697222222
Hong Kong SAR,344071384,36.0,Urban,Low,Male,Married,Higher,4.0,3.0,0.566018519,Not trusted,1.0,4.0,0.6658333333
Hong Kong SAR,344070376,55.0,Urban,Medium,Male,Married,Higher,7.0,7.0,0.695648148,Not trusted,7.0,7.0,0.7052777778
Hong Kong SAR,344070334,35.0,Urban,Medium,Female,Married,Middle,7.0,8.0,0.316018519,Trusted,5.0,7.0,0.3733333333
Hong Kong SAR,344071556,50.0,Urban,Medium,Female,Single,Middle,7.0,6.0,0.360555556,Not trusted,6.0,8.0,0.7058333333
Hong Kong SAR,344071850,60.0,Urban,Medium,Male,Married,Higher,5.0,5.0,0.639259259,Trusted,4.0,5.0,0.65
Hong Kong SAR,344070911,69.0,Urban,Medium,Male,Widowed,Middle,5.0,1.0,0.555,Not trusted,9.0,5.0,0.2625
Hong Kong SAR,344072031,58.0,Urban,Medium,Male,Married,Middle,9.0,9.0,0.18,Trusted,1.0,9.0,0.4433333333
Hong Kong SAR,344071744,41.0,Urban,Medium,Female,Married,Higher,5.0,7.0,0.53212963,Not trusted,9.0,5.0,0.4702777778
Hong Kong SAR,344070329,39.0,Urban,Medium,Female,Married,Middle,7.0,7.0,0.637777778,Trusted,8.0,7.0,0.3730555556
Hong Kong SAR,344071608,51.0,Urban,High,Female,Married,Higher,7.0,7.0,0.611898148,Not trusted,9.0,6.0,0.6783333333
Hong Kong SAR,344070013,45.0,Urban,Medium,Male,Married,Middle,5.0,5.0,0.550092593,Not trusted,5.0,4.0,0.5533333333
Hong Kong SAR,344072028,37.0,Urban,Medium,Female,Married,Higher,8.0,9.0,0.754074074,Trusted,6.0,7.0,0.6091666667
Hong Kong SAR,344070172,55.0,Urban,High,Male,Married,Higher,8.0,8.0,0.42712963,Trusted,1.0,9.0,0.339055
Hong Kong SAR,344070261,78.0,Urban,Low,Female,Married,Lower,7.0,7.0,0.346111111,Trusted,3.0,7.0,0.3733333333
Hong Kong SAR,344071274,35.0,Urban,Medium,Female,Married,Middle,4.0,4.0,0.589166667,Not trusted,4.0,4.0,0.7055555556
Hong Kong SAR,344071908,36.0,Urban,Medium,Female,Single,Middle,6.0,7.0,0.681898148,Not trusted,5.0,5.0,0.7758333333
Hong Kong SAR,344070902,42.0,Urban,Low,Female,Married,Middle,6.0,3.0,0.394722222,Not trusted,2.0,6.0,0.4280555556
Hong Kong SAR,344070259,52.0,Urban,Medium,Female,Married,Lower,7.0,7.0,0.611898148,Trusted,7.0,7.0,0.4016666667
Hong Kong SAR,344070845,76.0,Urban,Medium,Female,Married,Lower,8.0,10.0,0.334537037,Trusted,8.0,10.0,0.1933333333
Hong Kong SAR,344070139,45.0,Urban,Medium,Female,Single,Middle,6.0,6.0,0.401527778,Trusted,6.0,6.0,0.4561111111
Hong Kong SAR,344070320,77.0,Urban,Medium,Male,Married,Lower,10.0,7.0,0.357685185,Not trusted,5.0,4.0,0.4283333333
Hong Kong SAR,344071605,42.0,Urban,Medium,Female,Single,Middle,8.0,7.0,0.476018519,Not trusted,10.0,9.0,0.3180555556
Hong Kong SAR,344072037,63.0,Urban,Medium,Female,Married,Middle,8.0,8.0,0.649351852,Trusted,3.0,8.0,0.7061111111
Hong Kong SAR,344071236,28.0,Urban,Low,Male,Married,Middle,7.0,5.0,0.46837963,Not trusted,2.0,6.0,0.3311111111
Hong Kong SAR,344070559,67.0,Urban,Low,Female,Widowed,Lower,6.0,5.0,0.194166667,Not trusted,1.0,1.0,0.5134475
Hong Kong SAR,344070140,26.0,Urban,Medium,Male,Single,Middle,5.0,7.0,0.519305556,Trusted,5.0,3.0,0.5402777778
Hong Kong SAR,344071872,32.0,Urban,Medium,Female,Married,Higher,5.0,7.0,0.707222222,Trusted,7.0,6.0,0.4975
Hong Kong SAR,344070532,61.0,Urban,Medium,Female,Widowed,Lower,5.0,5.0,0.452894167,Not trusted,,5.0,0.18
Hong Kong SAR,344070225,25.0,Urban,Medium,Male,Single,Middle,4.0,5.0,0.410787037,Not trusted,9.0,5.0,0.5677777778
Hong Kong SAR,344070724,59.0,Urban,Medium,Female,Married,Lower,5.0,8.0,0.546666667,Not trusted,7.0,6.0,0.2897222222
Hong Kong SAR,344071803,56.0,Urban,Medium,Female,Single,Middle,3.0,5.0,0.503101852,Not trusted,6.0,2.0,0.4152777778
Hong Kong SAR,344070326,66.0,Urban,Low,Male,Married,Lower,5.0,5.0,0.18,Not trusted,10.0,5.0,0.4433333333
Hong Kong SAR,344071473,19.0,Urban,Low,Male,Single,Middle,5.0,4.0,0.533611111,Not trusted,3.0,1.0,0.4841666667
Hong Kong SAR,344071828,24.0,Urban,Medium,Male,Single,Higher,3.0,5.0,0.448101852,Not trusted,5.0,5.0,0.4572222222
Hong Kong SAR,344070715,73.0,Urban,Low,Female,Married,Middle,5.0,9.0,0.477222222,Not trusted,1.0,5.0,0.3616141667
Hong Kong SAR,344070847,33.0,Urban,Medium,Male,Single,Higher,7.0,7.0,0.589444444,Trusted,8.0,7.0,0.2755555556
Hong Kong SAR,344070194,39.0,Urban,Medium,Female,Single,Higher,7.0,7.0,0.605092593,Not trusted,6.0,6.0,0.4425
Hong Kong SAR,344070574,62.0,Urban,Low,Female,Married,Lower,5.0,2.0,0.681898148,Not trusted,4.0,5.0,0.4144444444
Hong Kong SAR,344070947,51.0,Urban,Low,Female,Married,Middle,3.0,5.0,0.302407407,Not trusted,5.0,3.0,0.4283333333
Hong Kong SAR,344070504,81.0,Urban,Medium,Male,Married,Lower,5.0,10.0,0.333333333,Not trusted,5.0,5.0,0.5108333333
Hong Kong SAR,344071231,55.0,Urban,Medium,Male,Married,Higher,7.0,6.0,0.380833333,Not trusted,1.0,7.0,0.5958333333
Hong Kong SAR,344071222,32.0,Urban,Medium,Female,Single,Middle,7.0,5.0,0.40587963,Not trusted,6.0,7.0,0.6644444444
Hong Kong SAR,344071878,38.0,Urban,Medium,Male,Single,Middle,1.0,2.0,0.66337963,Not trusted,1.0,5.0,0.6383333333
Hong Kong SAR,344070004,41.0,Urban,Medium,Male,Married,Higher,8.0,6.0,0.932314815,Not trusted,2.0,8.0,0.6083333333
Hong Kong SAR,344071800,50.0,Urban,Medium,Male,Married,Higher,7.0,8.0,0.427407407,Not trusted,1.0,7.0,0.54
Hong Kong SAR,344070468,18.0,Urban,Low,Female,Single,Middle,9.0,8.0,0.881111111,Not trusted,6.0,5.0,0.5402777778
Hong Kong SAR,344070006,61.0,Urban,Low,Female,Married,Middle,8.0,9.0,0.424537037,Trusted,2.0,10.0,0.5258333333
Hong Kong SAR,344071445,40.0,Urban,Medium,Female,Married,Higher,6.0,6.0,0.416111111,Trusted,6.0,6.0,0.7752777778
Hong Kong SAR,344070548,70.0,Urban,Low,Female,Widowed,Lower,5.0,10.0,0.43775,,8.0,10.0,0.3183333333
Hong Kong SAR,344070229,,Urban,Low,Female,Separated,Middle,7.0,5.0,0.519973333,Not trusted,,2.0,0.3927552778
Hong Kong SAR,344071064,32.0,Urban,Low,Female,Single,Higher,7.0,8.0,0.457222222,Trusted,7.0,6.0,0.3866666667
Hong Kong SAR,344070543,74.0,Urban,Medium,Female,Married,Lower,3.0,5.0,0.313287037,Not trusted,5.0,5.0,0.431565
Hong Kong SAR,344070243,66.0,Urban,Low,Female,Married,Lower,6.0,6.0,0.522037037,Not trusted,3.0,6.0,0.5816666667
Hong Kong SAR,344070899,49.0,Urban,Medium,Female,Married,Middle,8.0,8.0,0.39662037,Not trusted,1.0,8.0,0.5391666667
Hong Kong SAR,344071375,38.0,Urban,Medium,Female,Single,Higher,5.0,6.0,0.484166667,Not trusted,6.0,7.0,0.7475
Hong Kong SAR,344071250,27.0,Urban,Low,Male,Single,Higher,6.0,5.0,0.515231482,Not trusted,10.0,4.0,0.4286111111
Hong Kong SAR,344071543,45.0,Urban,Medium,Male,Married,Middle,6.0,6.0,0.416111111,Trusted,6.0,6.0,0.5952777778
Hong Kong SAR,344070843,53.0,Urban,Low,Male,Married,Middle,3.0,5.0,0.626203704,Not trusted,8.0,3.0,0.3308983333
Hong Kong SAR,344071494,38.0,Urban,Low,Male,Married,Middle,4.0,3.0,0.436944444,Not trusted,5.0,3.0,0.7763888889
Hong Kong SAR,344071537,50.0,Urban,Medium,Female,Single,Middle,5.0,6.0,0.688703704,Not trusted,5.0,7.0,0.8033333333
Hong Kong SAR,344070277,48.0,Urban,Low,Male,Married,Middle,5.0,5.0,0.604953704,Not trusted,1.0,5.0,0.36
Hong Kong SAR,344070662,36.0,Urban,Low,Male,Married,Lower,7.0,8.0,0.424398148,Not trusted,1.0,7.0,0.4425
Hong Kong SAR,344071270,25.0,Urban,Medium,Male,Single,Higher,6.0,6.0,0.56875,Not trusted,6.0,5.0,0.7466666667
Hong Kong SAR,344070315,26.0,Urban,Medium,Male,Living together as married,Higher,8.0,10.0,0.898148148,Trusted,3.0,8.0,0.6349783333
Hong Kong SAR,344070692,76.0,Urban,Low,Female,Married,Lower,9.0,5.0,0.43162037,Not trusted,2.0,9.0,0.305
Hong Kong SAR,344071582,22.0,Urban,Low,Male,Single,Higher,3.0,9.0,0.370092593,Not trusted,8.0,3.0,0.7758333333
Hong Kong SAR,344070425,18.0,Urban,Medium,Male,Single,Middle,6.0,6.0,0.371157407,Not trusted,2.0,6.0,0.5125
Hong Kong SAR,344070595,55.0,Urban,Medium,Female,Married,Middle,8.0,7.0,0.489212963,Not trusted,9.0,8.0,0.3172222222
Hong Kong SAR,344072057,63.0,Urban,Medium,Female,Married,Middle,8.0,7.0,0.410925926,Not trusted,6.0,8.0,0.4427777778
Hong Kong SAR,344070623,32.0,Urban,Low,Female,Married,Middle,5.0,5.0,0.491944444,Not trusted,5.0,5.0,0.3325
Hong Kong SAR,344071229,28.0,Urban,Medium,Female,Married,Higher,7.0,8.0,0.876759259,Not trusted,1.0,7.0,0.6783333333
Hong Kong SAR,344071382,43.0,Urban,Medium,Female,Single,Middle,4.0,5.0,0.394305556,Not trusted,5.0,3.0,0.525
Hong Kong SAR,344070228,79.0,Urban,Medium,Male,Married,Higher,8.0,4.0,0.378518519,Not trusted,2.0,8.0,0.5258333333
Hong Kong SAR,344071176,47.0,Urban,Medium,Male,Married,Lower,5.0,4.0,0.569814815,Not trusted,5.0,4.0,0.5527777778
Hong Kong SAR,344071847,58.0,Urban,Medium,Male,Single,Higher,5.0,6.0,0.54287037,Not trusted,4.0,4.0,0.4569444444
Hong Kong SAR,344071360,33.0,Urban,Low,Male,Married,Higher,6.0,5.0,0.904537037,Not trusted,2.0,6.0,0.6227777778
Hong Kong SAR,344070067,43.0,Urban,Medium,Female,Married,Higher,5.0,5.0,0.336851852,Trusted,9.0,6.0,0.4705555556
